Keyword,Seller_Name,Card_Title,Card_URL,Price_CNY,End_Time,Scrape_Time,Is_Bid
topps 狂热,浩行天下精品 (26866),【浩行拍卖精品 截标预付82%】2025 Topps Chrome Cade Cunningham TC 活塞 坎宁安 康宁汉姆 CC Fanatical 狂热特卡 大比例 SSP 折射 专收必备 瑕疵看图「星骋壹」0710G01兿,https://www.cardhobby.com.cn/market/item/122340187,75.0,02天 08小时,1783913152,否
topps 狂热,烦烦拍卖 (126582),2025-26 Topps Chrome Tyler Herro 【烦烦拍卖】TC 热火 泰勒 希罗 Fanatical狂热特卡 银折 大比例 SSP 收藏必备【ssy】A8,https://www.cardhobby.com.cn/market/item/122696982,6.0,02天 09小时,1783913152,否
topps 狂热,战神无双拍卡 (43409),2025-26 Topps Finest欧冠 荷兰 丹尼斯·博格坎普Dennis Bergkamp 阿贾克斯 国际米兰 阿森纳 90's Madness90年代狂热特卡 199编 战神无双(大帅),https://www.cardhobby.com.cn/market/item/122386879,1.0,02天 09小时,1783913152,否
topps 狂热,浩行天下精品 (26866),【浩行拍卖精品 截标预付82%】2025 Topps Chrome Cade Cunningham TC 活塞 坎宁安 康宁汉姆 CC Fanatical 狂热特卡 大比例 SSP 折射 专收必备 瑕疵看图「昀峥壹」0711G01兿,https://www.cardhobby.com.cn/market/item/122525370,1.0,03天 08小时,1783913152,否
topps 狂热,半山腰抽着风 (22417),【大师兄拍卖】2025-26 Topps Chrome LaMelo Ball TC 黄蜂 拉梅洛 鲍尔 Fanatical 狂热 大比例 ssp 卡品轻痕微瑕-杨教练-龘,https://www.cardhobby.com.cn/market/item/122389301,8.0,03天 09小时,1783913152,否
topps 狂热,采石南郭源潮 (1308),2025 Topps Chrome Trae Young 元年TC 老鹰 特雷杨 特雷 杨 狂热粉丝特卡 大比例 SSP 银折 折射 吹杨 纽约市长 亚特兰大鹰,https://www.cardhobby.com.cn/market/item/122553325,1.0,06天 09小时,1783913152,否
topps 狂热,采石南郭源潮 (1308),2025 Topps Chrome Valdez VJ Edgecombe Jr RC 元年TC 76人 VJ 埃奇库姆 RC 新秀 探花 SSP 大比例 Fanatical 狂热特卡 银折 折射,https://www.cardhobby.com.cn/market/item/122588443,6.0,06天 10小时,1783913152,否
topps 狂热,大腿代卖球星卡 (111119),【大腿代卖】Cade Cunningham 坎宁安 康宁汉姆 2025 Topps Chrome Fanatical 狂热粉丝特卡 银折折射 活塞队 CC 状元秀/瑕疵见详图/9681壹ty/84,https://www.cardhobby.com.cn/market/item/122480074,103.0,01天 08小时,1783913190,否
topps 狂热,浩行天下精品 (26867),【浩行拍卖精品 截标预付82%】2025 Topps Chrome David Robinson 马刺 大卫 罗宾逊 折射 fanatical 狂热特卡 大比例 SSP 专收必备「望柘壹」0709C01様,https://www.cardhobby.com.cn/market/item/122154102,32.0,01天 08小时,1783913190,否
topps 狂热,大腿代卖球星卡 (111119),【大腿代卖精品】Stephen Curry 斯蒂芬库里 2025-26 Topps Chrome Fanatical 狂热粉丝特卡 银折折射 勇士队 萌神 小学生 历史三分王/瑕疵见详图/9681壹ty/80,https://www.cardhobby.com.cn/market/item/122509285,93.0,01天 09小时,1783913190,否
topps 狂热,大腿代卖球星卡 (111119),【大腿代卖精品】Stephen Curry 斯蒂芬库里 2025-26 Topps Chrome Fanatical 狂热粉丝特卡 银折折射 勇士队 萌神 小学生 历史三分王/瑕疵见详图/9681壹ty/81,https://www.cardhobby.com.cn/market/item/122509330,93.0,01天 09小时,1783913190,否
topps 狂热,大腿代卖球星卡 (111119),【大腿代卖精品】Stephen Curry 斯蒂芬库里 2025-26 Topps Chrome Fanatical 狂热粉丝特卡 银折折射 勇士队 萌神 小学生 历史三分王/瑕疵见详图/9681壹ty/83,https://www.cardhobby.com.cn/market/item/122509371,93.0,01天 09小时,1783913190,否
topps 狂热,大腿代卖球星卡 (111119),【大腿代卖精品】Stephen Curry 斯蒂芬库里 2025-26 Topps Chrome Fanatical 狂热粉丝特卡 银折折射 勇士队 萌神 小学生 历史三分王/瑕疵见详图/9681壹ty/85,https://www.cardhobby.com.cn/market/item/122509415,93.0,01天 09小时,1783913190,否
topps 狂热,浩行天下精品 (26867),【浩行拍卖精品 截标预付82%】2025 Topps Chrome Cade Cunningham TC 活塞 坎宁安 康宁汉姆 CC Fanatical 狂热特卡 大比例 SSP 折射 专收必备 瑕疵看图「星骋壹」0710G01兿,https://www.cardhobby.com.cn/market/item/122340187,75.0,02天 08小时,1783913190,否
topps 狂热,烦烦拍卖 (126583),2025-26 Topps Chrome Tyler Herro 【烦烦拍卖】TC 热火 泰勒 希罗 Fanatical狂热特卡 银折 大比例 SSP 收藏必备【ssy】A8,https://www.cardhobby.com.cn/market/item/122696982,6.0,02天 09小时,1783913190,否
topps 狂热,浩行天下精品 (26867),【浩行拍卖精品 截标预付82%】2025 Topps Chrome Cade Cunningham TC 活塞 坎宁安 康宁汉姆 CC Fanatical 狂热特卡 大比例 SSP 折射 专收必备 瑕疵看图「昀峥壹」0711G01兿,https://www.cardhobby.com.cn/market/item/122525370,1.0,03天 08小时,1783913190,否
